"link";"price";"crawled_date"
"https://www.flipkart.com/zebronics-ex-bluetooth-headset/p/itmcfcb84c781fac?pid=ACCF5DUU792KXJMM";597;"2021-06-07"
"https://www.flipkart.com/sony-ex15ap-wired-without-mic-headset/p/itm58bd9d5393698?pid=ACCDPAF63TYQNQF4";885;"2021-06-07"
"https://www.flipkart.com/sennheiser-momentum-m3-ietw-2-active-noise-cancellation-enabled-bluetooth-headset/p/itm93bfa91024205?pid=ACCFSDG8UFRMHAYB";24990;"2021-06-07"
"https://www.flipkart.com/zebronics-zeb-soul-bluetooth-headset/p/itmb4e93aabe407c?pid=ACCFN2HH25NVTYRN";2399;"2021-06-07"
"https://www.flipkart.com/jbl-quantum-100-wired-gaming-headset/p/itm1aefd9fd9b5e0?pid=ACCFSKBYHGBTUPP5";2599;"2021-06-07"
"https://www.flipkart.com/jabra-elite-85t-advanced-active-noise-cancellation-bluetooth-headset/p/itmee3b82349bc1f?pid=ACCFZHB9ZZG4Y8UA";17999;"2021-06-07"
"https://www.flipkart.com/boat-rockerz-255f-bluetooth-headset/p/itm706e58af38ece?pid=ACCF6SZ8EFWFEPZ6";1199;"2021-06-07"
"https://www.flipkart.com/zebronics-zeb-duke-bluetooth-headset/p/itm4bac869c68828?pid=ACCFRR83BKGBGQGC";1399;"2021-06-07"
"https://www.flipkart.com/sony-xb510as-wired-headset/p/itmb91fa51059757?pid=ACCET8Z58XGABHPD";2640;"2021-06-07"
"https://www.flipkart.com/skullcandy-jib-plus-active-sport-wireless-bluetooth-headset/p/itm761043156f5e8?pid=ACCFMJGVHSM7TFZG";2295;"2021-06-07"
"https://www.flipkart.com/beats-powerbeats3-decade-collection-bluetooth-headset/p/itm23ecebda0c93e?pid=ACCFGKYFHWYUDEHZ";16500;"2021-06-07"
"https://www.flipkart.com/boat-rockerz-195-bluetooth-headset/p/itmd38d5eaff1882?pid=ACCFTV5K8XD2KSFG";1234;"2021-06-07"
"https://www.flipkart.com/skullcandy-jib-headset-mic/p/itmd612984de2d66?pid=ACCEXQ5VDCBKS8SM";774;"2021-06-07"
"https://www.flipkart.com/jbl-harman-tune-700bt-bluetooth-headset/p/itmbbd6fe76299eb?pid=ACCFPCGPRWKHGBTZ";4499;"2021-06-07"
"https://www.flipkart.com/jabra-elite-active-75t-noise-cancellation-enabled-bluetooth-headset/p/itmaa3d90fb1634f?pid=ACCFPU9YEGQVURPE";13499;"2021-06-07"
"https://www.flipkart.com/sony-ex255ap-wired-headset/p/itm16fa5b85d6b64?pid=ACCEVAEWHAGE5ZPE";1990;"2021-06-07"
